relative_path,basename,extension,size_bytes,mtime_ns,mode,readable,mime_guess,sha256,crc32,duplicate_basename,duplicate_content
.DS_Store,.DS_Store,,6148,1784351088937425407,-rw-r--r--,true,,32b3144250cb8f32d0e2ad992e80fc731117577aad3d0d9a8dae46fbd4668f5e,3b8a0486,true,false
Instructions/EN_Checklist.pdf,EN_Checklist.pdf,pdf,72447,1642121926000000000,-rw-rw-r--,true,application/pdf,6bb7c4f022f05275d3e8df9c0d63a63e2e180b113f1e2a43c94c26fc04a3c99c,ac328d86,false,false
Instructions/EN_Instructions.pdf,EN_Instructions.pdf,pdf,62931,1642121504000000000,-rw-rw-r--,true,application/pdf,637bb68b33be18ea0d5822fedd30b23a46a2732b18dfe6892e155d92f6327215,ba3ec99f,false,false
Instructions/FR_Checklist.pdf,FR_Checklist.pdf,pdf,871267,1533160356000000000,-rw-rw-r--,true,application/pdf,b9ae0132cd38ff9c23689c1931e4591a4e412ecfb0bd69c7504b01f237d53993,0a035459,false,false
Instructions/FR_Instructions.pdf,FR_Instructions.pdf,pdf,64911,1642121624000000000,-rw-rw-r--,true,application/pdf,5a5a38262f9f967a8ecb1af9773b323ca903b7d129ea29fe144515314285515e,6c92167e,false,false
OV_Scenarios/0-monitoring.xml,0-monitoring.xml,xml,56960,1625010138000000000,-rw-rw-r--,true,application/xml,b6015849ea54150d47463a264d3956d836367a0aa01236543799e25f35d433b9,a9471437,false,false
OV_Scenarios/1-baseline.xml,1-baseline.xml,xml,30670,1625010140000000000,-rw-rw-r--,true,application/xml,7395d0bb4b998cb4c190716920db1515affa66c9a33439510c0e826309d65e56,e52acab4,false,false
OV_Scenarios/2-acquisition.xml,2-acquisition.xml,xml,34735,1625010636000000000,-rw-rw-r--,true,application/xml,e1f62571307f1bbc132d5b41e1656f6684e9ed705ceaa1044acd1133cec8188e,b71b63b2,false,false
OV_Scenarios/3-file-concatenation.xml,3-file-concatenation.xml,xml,19492,1625011116000000000,-rw-rw-r--,true,application/xml,4960623dbd8875c3d4930a611c9c8b447f531d13a7a180e79c34241ea469c0ec,11b7948b,false,false
OV_Scenarios/4-frequency-band-selection.xml,4-frequency-band-selection.xml,xml,34739,1625598068000000000,-rw-rw-r--,true,application/xml,ecb61abdcfc796dca53f120b95f7ff4732c0a8fdb6999a88f5d720c1c366b2c8,f0b11606,false,false
OV_Scenarios/5-train-CSP.xml,5-train-CSP.xml,xml,27674,1625011762000000000,-rw-rw-r--,true,application/xml,1564eb347e9d107800c4a0ed8a22bafdde3c88d765226bf1e21a6bbbc363f347,d36033f8,false,false
OV_Scenarios/6-classifier-trainer.xml,6-classifier-trainer.xml,xml,57894,1625011792000000000,-rw-rw-r--,true,application/xml,2dba0445b83484a35b12602c491555f126d6ab246468be2e6600b25e5077fab9,cbe6277b,false,false
OV_Scenarios/7-online.xml,7-online.xml,xml,75444,1625011884000000000,-rw-rw-r--,true,application/xml,917f5011554e17e57acea1a2f19ce65bc510723a069c932325c04e30ebca6379,597aac15,false,false
OV_Scenarios/channelList,channelList,,234,1533160576000000000,-rw-rw-r--,true,,c853f75056793c0f06e673fac832a86024790f035ed20e3dbfaaa32572f7be20,d3671668,false,false
OV_Scenarios/scripts/FrequencyBandSelection-v2.py,FrequencyBandSelection-v2.py,py,11546,1625006224000000000,-rw-rw-r--,true,text/x-python,85160488ff1bc1e6cbbbe596385d73fcf28e3eafe7bccedaba509c36ed9fe950,bdf37f27,false,false
OV_Scenarios/scripts/FrequencyBandSelection.py,FrequencyBandSelection.py,py,7872,1533160576000000000,-rw-rw-r--,true,text/x-python,708c49e8854cb29dba454270e2fc12db21b20eeccd2751417e898f81984fc239,963745dd,false,false
OV_Scenarios/scripts/mi-bci-graz-stimulator.lua,mi-bci-graz-stimulator.lua,lua,2483,1533160576000000000,-rw-rw-r--,true,,1b9439816869b861aaefe0ab18b4c1e540194f68b50795c5f53e32b649163414,a49eaaaa,false,false
OV_Scenarios/scripts/scenario-baseline.lua,scenario-baseline.lua,lua,769,1581557970000000000,-rw-rw-r--,true,,e55878d437abbe97b637beea129af303d8240f414c8a520bb445ca33ffdadf69,e60a1449,false,false
OV_Scenarios/sham.ov,sham.ov,ov,199317,1525309822000000000,-rw-rw-r--,true,,b17cf749410a9aff5e61f95499d749403048e5f307c46a77b0d2278955533b8b,a2340a91,false,false
Perfomances.csv,Perfomances.csv,csv,23145,1687478130000000000,-rw-rw-r--,true,text/csv,95407ff51cda4ac698be80f65f054723e9cd746d2156f54e9035cd5b81304f93,cd6ce7ed,false,false
