architecture,n_subjects,balanced_accuracy_mean,balanced_accuracy_sd,auc_mean,auc_sd,left_recall_mean,right_recall_mean,total_runtime_seconds,validity_label
EEGNet,87,0.5244500454574973,0.035748742880746906,0.5480144431869579,0.06884310855732047,0.4737547892720307,0.5751453016429638,24821.064428200014,decoding_baseline_not_state_inference
ShallowConvNet,87,0.5086209032712309,0.018953584501400698,0.526131660085868,0.045003288456475915,0.18890149223633795,0.8283403143061238,26281.563950900018,decoding_baseline_not_state_inference
