n_trials,status,differential_norm,common_state_norm,differential_partial_r2,permutation_p,null_differential_norm_mean,subject,ablation
238,ok,0.28860430836097234,0.3283254240573665,0.0069627229950496305,0.8217821782178217,0.2993000095699022,A1,primary_reject_excluded
238,ok,1.5255856530710454,2.0023378743118054,0.0017317208578673249,0.9702970297029703,1.536342744969968,A5,primary_reject_excluded
238,ok,1.3572293646103772,2.33601370650603,0.0018107612044914179,0.9207920792079208,1.3725831703388263,A29,primary_reject_excluded
240,ok,1.3938615040128375,0.9414749324095282,0.002731202345599537,0.009900990099009901,1.3902344014675834,A33,primary_reject_excluded
239,ok,1.1720171138466604,1.926765977182185,0.0018536537341514725,0.9603960396039604,1.1743403736799756,A37,primary_reject_excluded
236,ok,1.161080427966732,0.9796906248486817,0.003060078308218528,0.009900990099009901,0.7525951297788853,A41,primary_reject_excluded
240,ok,0.05042294172333354,0.1286951651597795,0.0010669859334728748,0.7425742574257426,0.052719313403036684,A45,primary_reject_excluded
240,ok,0.5958913802238262,0.25327220193626687,0.005624905649625589,0.43564356435643564,0.5957632605106291,B69,primary_reject_excluded
238,ok,0.5192947473089423,1.0728501833881043,0.0012507249100148776,0.7425742574257426,0.5372241595133296,B73,primary_reject_excluded
239,ok,0.8873675542236019,1.0631326900191684,0.007172386148017407,0.009900990099009901,0.5581151070914206,B77,primary_reject_excluded
240,ok,0.5603473988856662,0.6001577092912151,0.00845105392475809,0.019801980198019802,0.5004128326704861,B81,primary_reject_excluded
240,ok,0.21368148052624633,0.0927980562799487,0.012501237318016445,0.7227722772277227,0.21818628600552162,C85,primary_reject_excluded
238,ok,0.4151774885155334,1.7405161121138815,0.0011276976498862945,0.7227722772277227,0.42560049496814917,A2,primary_reject_excluded
238,ok,2.012070136165059,0.7939791213254235,0.001605004534777743,0.009900990099009901,1.989111993321298,A6,primary_reject_excluded
236,ok,1.5091925812221292,1.3325132552266223,0.0008999700837113433,1.0,1.712340980770794,A14,primary_reject_excluded
240,ok,0.3158698419113821,2.439094353730953,0.0012743035199538344,1.0,0.3320109840986108,A18,primary_reject_excluded
239,ok,0.31094352046433243,0.2796143165630981,0.003582335362024569,0.15841584158415842,0.29732792279314074,A22,primary_reject_excluded
237,ok,1.0599451278642644,0.5678655764528399,0.002269534428817499,0.009900990099009901,1.040382788747057,A26,primary_reject_excluded
240,ok,0.6939653628091961,0.8346519402723417,0.004423601607928651,0.9207920792079208,0.7026135803765696,A34,primary_reject_excluded
240,ok,1.5702183366584708,1.9471748744606974,0.0012295522963950978,0.0594059405940594,1.55453151517538,A38,primary_reject_excluded
240,ok,0.10143362707341783,0.13360364240450356,0.004907629469193209,0.5841584158415841,0.10476457670800751,A42,primary_reject_excluded
240,ok,0.10670828555960847,0.11749676003621098,0.004552036714281726,0.1782178217821782,0.10196157459318353,A50,primary_reject_excluded
240,ok,0.06828326689588346,0.4414491822005694,0.005227738825593686,0.5544554455445545,0.07370927311154177,A54,primary_reject_excluded
239,ok,0.7712492290918775,0.32058797856473353,0.005732972767134914,0.009900990099009901,0.7041976021227013,B62,primary_reject_excluded
239,ok,0.539721386054122,0.5173377609088088,0.004755950038076384,0.009900990099009901,0.3848068389602461,B66,primary_reject_excluded
240,ok,0.5258513023504474,0.8385148911863742,0.0051321959641643655,0.019801980198019802,0.5004349726960787,B74,primary_reject_excluded
239,ok,1.3191215866876007,1.5199533478940044,0.0015718392413371918,0.039603960396039604,1.2910406790863687,B78,primary_reject_excluded
240,ok,0.9061850322460285,0.3187557233313556,0.002299559900025172,1.0,0.9404102929456748,C82,primary_reject_excluded
240,ok,0.6257649526627274,1.2783204299625508,0.003327606046691689,1.0,0.692372209990092,A3,primary_reject_excluded
240,ok,1.171705943814688,0.371003999648195,0.003942151269873406,0.19801980198019803,1.1700590028005062,A15,primary_reject_excluded
240,ok,0.8581640887542189,1.8371654193451254,0.0033930182837142997,0.009900990099009901,0.8562401627330851,A19,primary_reject_excluded
240,ok,0.2371609289399502,0.7875991181722795,0.0012492464751384658,0.009900990099009901,0.1782255880008111,A23,primary_reject_excluded
238,ok,1.4069827661374525,0.7363708052474603,0.00457070467891707,0.9603960396039604,1.415049581836692,A27,primary_reject_excluded
238,ok,0.731611959855078,1.333096731512238,0.0019245622913137694,0.0594059405940594,0.7190572377924311,A31,primary_reject_excluded
240,ok,1.283391836641622,2.0830844701245224,0.0024555397044191407,0.0891089108910891,1.2811663095314085,A35,primary_reject_excluded
239,ok,0.16268617543286112,0.25727045481170113,0.014188151127210613,0.21782178217821782,0.1611973400443042,A43,primary_reject_excluded
240,ok,0.05748225876651743,0.2410502571466303,0.003916235236983923,0.5544554455445545,0.06415896873755353,A51,primary_reject_excluded
240,ok,0.12105187864292477,0.45438010492025493,0.05425462742420406,0.15841584158415842,0.11196929986571863,A55,primary_reject_excluded
238,ok,0.5934187673611107,0.8245725382851457,0.009125649281221726,0.13861386138613863,0.5620135304850817,B63,primary_reject_excluded
239,ok,0.6294867083061495,0.423060392908729,0.007117829451329105,0.009900990099009901,0.3732732256584269,B67,primary_reject_excluded
237,ok,0.8750386415629554,1.6468110223792116,0.003672509488374498,0.9405940594059405,0.8986518549926799,B79,primary_reject_excluded
239,ok,0.09497929684719418,0.14363817463891038,0.009450096028829957,0.7128712871287128,0.09824482168412015,C83,primary_reject_excluded
238,ok,0.49965254932257785,0.3695206903836467,0.007384751425561498,0.009900990099009901,0.3746831538435083,C87,primary_reject_excluded
239,ok,0.43582081477403756,2.138590358658033,0.0033216870956873645,0.3069306930693069,0.4317801921396823,A4,primary_reject_excluded
240,ok,0.5596142820103744,2.0274905371956438,0.002050645213351854,0.009900990099009901,0.47282963154620977,A8,primary_reject_excluded
240,ok,1.070978681620708,0.628675052456826,0.0008275645384582253,0.9306930693069307,1.1042065770442127,A12,primary_reject_excluded
240,ok,0.3839502543404415,2.1790812514571374,0.0009466255246697308,0.9306930693069307,0.4142767845006709,A16,primary_reject_excluded
237,ok,0.4887035485081855,1.2888564451377509,0.005525599647799195,0.6237623762376238,0.49077605975000305,A20,primary_reject_excluded
232,ok,0.46092576959132414,1.0686026662450008,0.0034854942182004356,0.6039603960396039,0.46403169741022254,A40,primary_reject_excluded
240,ok,0.07576333089393311,0.26135359877371556,0.006816430129094608,0.7623762376237624,0.08847674820079567,A44,primary_reject_excluded
239,ok,0.21034767563727721,0.4517430332428642,0.017796241779585054,0.40594059405940597,0.20902937548919623,A48,primary_reject_excluded
237,ok,0.12519278614673993,0.19587261792250893,0.0043788745484094616,0.6138613861386139,0.12758800584030242,A52,primary_reject_excluded
240,ok,0.1492060945155654,0.48603170358080516,0.039286043054307274,0.0891089108910891,0.12466782878290467,A56,primary_reject_excluded
240,ok,0.06614997539441743,0.24585452841700506,0.006374557335548592,0.43564356435643564,0.0676076014116635,A60,primary_reject_excluded
238,ok,0.3792593311281419,0.7834046451829937,0.0037426854359249306,0.37623762376237624,0.37710236922806056,B64,primary_reject_excluded
239,ok,0.5123142671278129,1.4830189928262387,0.0027073113392956927,0.019801980198019802,0.47054775671763666,B68,primary_reject_excluded
240,ok,0.1824084066949849,0.33932394469709465,0.0020491402062767783,0.6633663366336634,0.19394084029530526,B80,primary_reject_excluded
240,ok,0.2883243018768334,0.3019009531372573,0.006034018103651118,0.7821782178217822,0.2998011599761336,A1,include_artifact_flagged_trials
240,ok,1.455732473004147,2.032465162409177,0.0017955699239906586,0.9801980198019802,1.4659707863449882,A5,include_artifact_flagged_trials
240,ok,1.4139411623717695,2.395828785188228,0.0019334929343207685,0.801980198019802,1.420928145830795,A29,include_artifact_flagged_trials
240,ok,1.3938615040128375,0.9414749324095282,0.002731202345599537,0.009900990099009901,1.3900027327628808,A33,include_artifact_flagged_trials
240,ok,1.1708108339852354,1.9261816907001,0.0017989477600993675,0.9801980198019802,1.1733388782247138,A37,include_artifact_flagged_trials
240,ok,1.1473005709482824,0.9957171220335859,0.0032515948465763334,0.009900990099009901,0.7513208367143666,A41,include_artifact_flagged_trials
