subject,component,feature,loading,explained_variance_ratio,latent_dimension
A1,1,posterior_alpha_logpower,0.032115340040954704,0.23661478147941484,1
A1,1,frontal_midline_theta_logpower,0.23318663096130987,0.23661478147941484,1
A1,1,aperiodic_offset,0.3152104126171381,0.23661478147941484,1
A1,1,aperiodic_exponent,-0.12775049582630427,0.23661478147941484,1
A1,1,alpha_peak_hz,-0.002597739938271726,0.23661478147941484,1
A1,1,slow_eye_logpower,0.6112703532218685,0.23661478147941484,1
A1,1,blink_amplitude,0.5675492528417143,0.23661478147941484,1
A1,1,blink_event_count,-0.36453124277272275,0.23661478147941484,1
A1,1,emg_rms_20_45hz,0.016168869145527915,0.23661478147941484,1
A5,1,posterior_alpha_logpower,0.4095676609388576,0.6397460073980412,1
A5,1,frontal_midline_theta_logpower,0.4124862565480715,0.6397460073980412,1
A5,1,aperiodic_offset,0.4141745294175615,0.6397460073980412,1
A5,1,aperiodic_exponent,-0.0787639832775699,0.6397460073980412,1
A5,1,alpha_peak_hz,0.0026635682270093565,0.6397460073980412,1
A5,1,slow_eye_logpower,0.4123048568938941,0.6397460073980412,1
A5,1,blink_amplitude,0.3788401043910153,0.6397460073980412,1
A5,1,blink_event_count,-0.05182650978108373,0.6397460073980412,1
A5,1,emg_rms_20_45hz,0.41006939896430267,0.6397460073980412,1
A9,1,posterior_alpha_logpower,0.4058669567579917,0.6612468524773856,1
A9,1,frontal_midline_theta_logpower,0.40674413903465356,0.6612468524773856,1
A9,1,aperiodic_offset,0.40839711516493316,0.6612468524773856,1
A9,1,aperiodic_exponent,-0.13204768655503885,0.6612468524773856,1
A9,1,alpha_peak_hz,-0.009024393729643643,0.6612468524773856,1
A9,1,slow_eye_logpower,0.40544133932413473,0.6612468524773856,1
A9,1,blink_amplitude,0.395748537170423,0.6612468524773856,1
A9,1,blink_event_count,0.029783321739408473,0.6612468524773856,1
A9,1,emg_rms_20_45hz,0.40452237679995906,0.6612468524773856,1
A13,1,posterior_alpha_logpower,0.4035045179517221,0.6741810552542837,1
A13,1,frontal_midline_theta_logpower,0.4017102116817065,0.6741810552542837,1
A13,1,aperiodic_offset,0.4044483071699659,0.6741810552542837,1
A13,1,aperiodic_exponent,-0.080139614366131,0.6741810552542837,1
A13,1,alpha_peak_hz,0.10112422065508488,0.6741810552542837,1
A13,1,slow_eye_logpower,0.40394640042099195,0.6741810552542837,1
A13,1,blink_amplitude,0.40101322125775546,0.6741810552542837,1
A13,1,blink_event_count,-0.10114896638709335,0.6741810552542837,1
A13,1,emg_rms_20_45hz,0.4017097203440689,0.6741810552542837,1
A17,1,posterior_alpha_logpower,0.4807634133492804,0.35039921213501063,1
A17,1,frontal_midline_theta_logpower,0.45479791565211436,0.35039921213501063,1
A17,1,aperiodic_offset,0.5364438449527551,0.35039921213501063,1
A17,1,aperiodic_exponent,-0.44059534839848286,0.35039921213501063,1
A17,1,alpha_peak_hz,-0.153961023681183,0.35039921213501063,1
A17,1,slow_eye_logpower,0.14062211358203575,0.35039921213501063,1
A17,1,blink_amplitude,0.16700121172309343,0.35039921213501063,1
A17,1,blink_event_count,-0.0036370822830712884,0.35039921213501063,1
A17,1,emg_rms_20_45hz,0.09353035742160419,0.35039921213501063,1
A21,1,posterior_alpha_logpower,0.41855902841472115,0.6069636148254124,1
A21,1,frontal_midline_theta_logpower,0.42454184689330066,0.6069636148254124,1
A21,1,aperiodic_offset,0.42094648158299997,0.6069636148254124,1
A21,1,aperiodic_exponent,0.003179803256886715,0.6069636148254124,1
A21,1,alpha_peak_hz,0.0009992685228601404,0.6069636148254124,1
A21,1,slow_eye_logpower,0.41898346762638583,0.6069636148254124,1
A21,1,blink_amplitude,0.338010679294444,0.6069636148254124,1
A21,1,blink_event_count,0.04725803679005403,0.6069636148254124,1
A21,1,emg_rms_20_45hz,0.4187288172826623,0.6069636148254124,1
A25,1,posterior_alpha_logpower,0.4086328532314744,0.6550223241502702,1
A25,1,frontal_midline_theta_logpower,0.40966924115435654,0.6550223241502702,1
A25,1,aperiodic_offset,0.40984675723059927,0.6550223241502702,1
A25,1,aperiodic_exponent,-0.0511004717211817,0.6550223241502702,1
A25,1,alpha_peak_hz,0.09917013435120649,0.6550223241502702,1
A25,1,slow_eye_logpower,0.40843609915218965,0.6550223241502702,1
A25,1,blink_amplitude,0.3885495323499464,0.6550223241502702,1
A25,1,blink_event_count,0.01514684900385247,0.6550223241502702,1
A25,1,emg_rms_20_45hz,0.4083500370115714,0.6550223241502702,1
A29,1,posterior_alpha_logpower,0.4215630123197851,0.6005645020886398,1
A29,1,frontal_midline_theta_logpower,0.42547085466626755,0.6005645020886398,1
A29,1,aperiodic_offset,0.4267044252863361,0.6005645020886398,1
A29,1,aperiodic_exponent,-0.14456566431304155,0.6005645020886398,1
A29,1,alpha_peak_hz,-0.03722292233747905,0.6005645020886398,1
A29,1,slow_eye_logpower,0.4247152264701049,0.6005645020886398,1
A29,1,blink_amplitude,0.2803042761984365,0.6005645020886398,1
A29,1,blink_event_count,-0.022793900323838642,0.6005645020886398,1
A29,1,emg_rms_20_45hz,0.42121806932539463,0.6005645020886398,1
A33,1,posterior_alpha_logpower,0.4055845522830484,0.6681703580908235,1
A33,1,frontal_midline_theta_logpower,0.40620016607623655,0.6681703580908235,1
A33,1,aperiodic_offset,0.4049267934955085,0.6681703580908235,1
A33,1,aperiodic_exponent,0.11491456481823466,0.6681703580908235,1
A33,1,alpha_peak_hz,-0.0009639869861735304,0.6681703580908235,1
A33,1,slow_eye_logpower,0.40240719944794384,0.6681703580908235,1
