subject,dataset,baseline,n_train,n_test,accuracy,error
A2,A,Riemannian_MDM,160.0,80.0,0.5,
A2,A,Tangent_logreg,160.0,80.0,0.4875,
A2,A,engineered_sensorimotor_logreg,160.0,80.0,0.525,
A30,A,CSP_LDA,160.0,80.0,0.5,
A30,A,FBCSP_proxy_logreg,160.0,80.0,0.45,
A30,A,Riemannian_MDM,160.0,80.0,0.5,
A30,A,Tangent_logreg,160.0,80.0,0.5,
A30,A,engineered_sensorimotor_logreg,160.0,80.0,0.45,
A31,A,CSP_LDA,160.0,80.0,0.55,
A31,A,FBCSP_proxy_logreg,160.0,80.0,0.4875,
A31,A,Riemannian_MDM,160.0,80.0,0.5,
A31,A,Tangent_logreg,160.0,80.0,0.5,
A31,A,engineered_sensorimotor_logreg,160.0,80.0,0.475,
A32,A,CSP_LDA,160.0,80.0,0.6625,
A32,A,FBCSP_proxy_logreg,160.0,80.0,0.525,
A32,A,Riemannian_MDM,160.0,80.0,0.5,
A32,A,Tangent_logreg,160.0,80.0,0.6375,
A32,A,engineered_sensorimotor_logreg,160.0,80.0,0.55,
A33,A,CSP_LDA,160.0,80.0,0.5,
A33,A,FBCSP_proxy_logreg,160.0,80.0,0.625,
A33,A,Riemannian_MDM,160.0,80.0,0.5,
A33,A,Tangent_logreg,160.0,80.0,0.6875,
A33,A,engineered_sensorimotor_logreg,160.0,80.0,0.5625,
A34,A,CSP_LDA,160.0,80.0,0.45,
A34,A,FBCSP_proxy_logreg,160.0,80.0,0.6375,
A34,A,Riemannian_MDM,160.0,80.0,0.5,
A34,A,Tangent_logreg,160.0,80.0,0.475,
A34,A,engineered_sensorimotor_logreg,160.0,80.0,0.5625,
A35,A,CSP_LDA,160.0,80.0,0.7625,
A35,A,FBCSP_proxy_logreg,160.0,80.0,0.7625,
A35,A,Riemannian_MDM,160.0,80.0,0.5,
A35,A,Tangent_logreg,160.0,80.0,0.875,
A35,A,engineered_sensorimotor_logreg,160.0,80.0,0.8,
A36,A,CSP_LDA,160.0,80.0,0.6125,
A36,A,FBCSP_proxy_logreg,160.0,80.0,0.5375,
A36,A,Riemannian_MDM,160.0,80.0,0.5,
A36,A,Tangent_logreg,160.0,80.0,0.6625,
A36,A,engineered_sensorimotor_logreg,160.0,80.0,0.525,
A37,A,CSP_LDA,160.0,80.0,0.6,
A37,A,FBCSP_proxy_logreg,160.0,80.0,0.525,
A37,A,Riemannian_MDM,160.0,80.0,0.5,
A37,A,Tangent_logreg,160.0,80.0,0.5625,
A37,A,engineered_sensorimotor_logreg,160.0,80.0,0.55,
A38,A,CSP_LDA,160.0,80.0,0.5,
A38,A,FBCSP_proxy_logreg,160.0,80.0,0.55,
A38,A,Riemannian_MDM,160.0,80.0,0.5,
A38,A,Tangent_logreg,160.0,80.0,0.6625,
A38,A,engineered_sensorimotor_logreg,160.0,80.0,0.525,
A39,A,CSP_LDA,160.0,80.0,0.8625,
A39,A,FBCSP_proxy_logreg,160.0,80.0,0.7125,
A39,A,Riemannian_MDM,160.0,80.0,0.5,
A39,A,Tangent_logreg,160.0,80.0,0.95,
A39,A,engineered_sensorimotor_logreg,160.0,80.0,0.8625,
A3,A,CSP_LDA,160.0,80.0,0.5,
A3,A,FBCSP_proxy_logreg,160.0,80.0,0.6375,
A3,A,Riemannian_MDM,160.0,80.0,0.5,
A3,A,Tangent_logreg,160.0,80.0,0.8125,
A3,A,engineered_sensorimotor_logreg,160.0,80.0,0.6,
A40,A,CSP_LDA,152.0,80.0,0.5125,
A40,A,FBCSP_proxy_logreg,152.0,80.0,0.4875,
A40,A,Riemannian_MDM,152.0,80.0,0.5,
