n_trials,status,differential_norm,common_state_norm,differential_partial_r2,permutation_p,null_differential_norm_mean,subject,dataset,split
238,ok,3.374179502503751,1.406852238228611,0.0019734137355281733,0.039603960396039604,3.3678472996532944,A9,A,explore
240,ok,1.7209306207175066,2.8855840056014634,0.0012197147376128425,0.4752475247524752,1.7201215982747444,A13,A,explore
229,ok,0.5893839153131406,1.3078218599231728,0.0015020862717759487,0.009900990099009901,0.5598790915600751,A17,A,explore
240,ok,1.5576029466724788,0.32075840294364627,0.0015085558742969907,0.0297029702970297,1.5371253616998508,A21,A,explore
239,ok,0.28178690155998315,1.0466516982450922,0.0028728988072762585,1.0,0.3299234790347106,A25,A,explore
240,ok,0.1097792384753304,0.24082668180790145,0.004564736667129199,0.8712871287128713,0.12276151961280521,A49,A,explore
240,ok,0.10950024004022203,0.1316393398793997,0.005171356970041563,0.4158415841584158,0.11025809262421751,A53,A,explore
240,ok,0.06116962138908151,0.27912055431265903,0.004850803500022427,0.8316831683168316,0.07792628638300945,A57,A,explore
239,ok,1.4918548394242352,0.6967963405845911,0.006399436548753523,0.9405940594059405,1.5073843138807776,B61,B,explore
239,ok,0.9551716953603149,1.2460898352181005,0.005091101203478332,0.009900990099009901,0.8539547789976993,B65,B,explore
240,ok,1.363872891245176,2.0689492573669837,0.001814132595387874,0.009900990099009901,1.327972078753366,A10,A,explore
240,ok,0.699891235793517,1.8628848443578656,0.0012417480756822252,0.9603960396039604,0.7092779785839085,A30,A,explore
240,ok,0.09294444787523386,0.12153011414366273,0.005373218377958011,0.594059405940594,0.0971877254490569,A46,A,explore
240,ok,0.12451539437746269,0.15335103234931569,0.005427424900989242,0.6732673267326733,0.12866494248010962,A58,A,explore
238,ok,0.4605940018260349,1.231301909157915,0.002324980850136993,0.5148514851485149,0.46452171775657697,B70,B,explore
239,ok,0.37583773316636127,0.2995147778959808,0.003362419325754651,0.9504950495049505,0.3980664694282314,C86,C,explore
240,ok,1.353954462656571,1.9502012511180988,0.0012770029137523231,0.8811881188118812,1.3553762049772644,A7,A,explore
240,ok,1.5223370904959894,2.082367633357349,0.0015008576838805299,0.009900990099009901,1.5053533373874626,A11,A,explore
235,ok,0.42539575518087286,1.2466212773670713,0.006185016214165229,0.6435643564356436,0.427076677874249,A39,A,explore
236,ok,0.053104107241510205,0.03539799001824935,0.0024232270178161652,0.594059405940594,0.05774281536915169,A47,A,explore
160,ok,0.14769281173716298,0.37256990790114297,0.017560433348222104,0.594059405940594,0.15777379045464368,A59,A,explore
238,ok,0.36978165763059795,0.5974309259117985,0.004532362720575334,0.9504950495049505,0.38798648986234474,B71,B,explore
238,ok,0.5639967597103168,1.0227606471119524,0.0022156521500219517,1.0,0.6190285256746251,B75,B,explore
240,ok,0.309072171956146,1.2833273180858968,0.002847916975888487,0.0594059405940594,0.28878958473358163,A24,A,explore
240,ok,1.260689890685667,1.5001183493404957,0.0011661617168580163,0.0297029702970297,1.2545530775240084,A28,A,explore
240,ok,0.6485001586338782,1.1111726148326302,0.005358634252612848,0.9306930693069307,0.6582006850745852,A32,A,explore
238,ok,0.5171063315679473,1.6119303714179505,0.0024134638561905675,0.0297029702970297,0.4847590550242622,A36,A,explore
239,ok,0.6568058457579251,1.283619765693485,0.0016359809981757456,0.5346534653465347,0.6616123912847164,B72,B,explore
240,ok,0.6354562226153798,0.45552907854348773,0.006241614932364525,0.6534653465346535,0.6432062726507596,B76,B,explore
240,ok,0.5016812949447168,0.4635648014611362,0.0024972188229744896,0.9801980198019802,0.5122636189476489,C84,C,explore
