n_trials,status,differential_norm,common_state_norm,differential_partial_r2,permutation_p,null_differential_norm_mean,subject,dataset,split
238,ok,0.28860430836097234,0.3283254240573665,0.0069627229950496305,0.7326732673267327,0.29722232659953846,A1,A,confirm
238,ok,1.5255856530710454,2.0023378743118054,0.0017317208578673249,0.9603960396039604,1.536022318836206,A5,A,confirm
238,ok,1.3572293646103772,2.33601370650603,0.0018107612044914179,0.8613861386138614,1.3735187656863477,A29,A,confirm
240,ok,1.3938615040128375,0.9414749324095282,0.002731202345599537,0.009900990099009901,1.3900595296748193,A33,A,confirm
239,ok,1.1720171138466604,1.926765977182185,0.0018536537341514725,0.9504950495049505,1.1744967554978323,A37,A,confirm
236,ok,1.161080427966732,0.9796906248486817,0.003060078308218528,0.009900990099009901,0.7484814814142895,A41,A,confirm
240,ok,0.05042294172333354,0.1286951651597795,0.0010669859334728748,0.7425742574257426,0.052861391217492865,A45,A,confirm
240,ok,0.5958913802238262,0.25327220193626687,0.005624905649625589,0.43564356435643564,0.5961402675138663,B69,B,confirm
238,ok,0.5192947473089423,1.0728501833881043,0.0012507249100148776,0.8118811881188119,0.5426309071632791,B73,B,confirm
239,ok,0.8873675542236019,1.0631326900191684,0.007172386148017407,0.009900990099009901,0.5625806512763989,B77,B,confirm
240,ok,0.5603473988856662,0.6001577092912151,0.00845105392475809,0.0297029702970297,0.5033938363947379,B81,B,confirm
240,ok,0.21368148052624633,0.0927980562799487,0.012501237318016445,0.6633663366336634,0.21779660036653972,C85,C,confirm
238,ok,0.4151774885155334,1.7405161121138815,0.0011276976498862945,0.8415841584158416,0.43157622256221634,A2,A,confirm
238,ok,2.012070136165059,0.7939791213254235,0.001605004534777743,0.009900990099009901,1.9880776861901819,A6,A,confirm
236,ok,1.5091925812221292,1.3325132552266223,0.0008999700837113433,1.0,1.705304631913731,A14,A,confirm
240,ok,0.3158698419113821,2.439094353730953,0.0012743035199538344,1.0,0.331710592565169,A18,A,confirm
239,ok,0.31094352046433243,0.2796143165630981,0.003582335362024569,0.13861386138613863,0.29788856453971485,A22,A,confirm
237,ok,1.0599451278642644,0.5678655764528399,0.002269534428817499,0.009900990099009901,1.0402339011435155,A26,A,confirm
240,ok,0.6939653628091961,0.8346519402723417,0.004423601607928651,0.8811881188118812,0.7020938219253222,A34,A,confirm
240,ok,1.5702183366584708,1.9471748744606974,0.0012295522963950978,0.06930693069306931,1.5518472195685757,A38,A,confirm
240,ok,0.10143362707341783,0.13360364240450356,0.004907629469193209,0.5247524752475248,0.10478688712818056,A42,A,confirm
240,ok,0.10670828555960847,0.11749676003621098,0.004552036714281726,0.2079207920792079,0.10269236228926008,A50,A,confirm
240,ok,0.06828326689588346,0.4414491822005694,0.005227738825593686,0.4752475247524752,0.07184842100551106,A54,A,confirm
239,ok,0.7712492290918775,0.32058797856473353,0.005732972767134914,0.009900990099009901,0.7052067382743527,B62,B,confirm
239,ok,0.539721386054122,0.5173377609088088,0.004755950038076384,0.009900990099009901,0.38404789476818757,B66,B,confirm
240,ok,0.5258513023504474,0.8385148911863742,0.0051321959641643655,0.04950495049504951,0.5024124826829416,B74,B,confirm
239,ok,1.3191215866876007,1.5199533478940044,0.0015718392413371918,0.06930693069306931,1.292364762418305,B78,B,confirm
240,ok,0.9061850322460285,0.3187557233313556,0.002299559900025172,1.0,0.9403806004751383,C82,C,confirm
240,ok,0.6257649526627274,1.2783204299625508,0.003327606046691689,1.0,0.6910389815525384,A3,A,confirm
240,ok,1.171705943814688,0.371003999648195,0.003942151269873406,0.2376237623762376,1.170327586857241,A15,A,confirm
240,ok,0.8581640887542189,1.8371654193451254,0.0033930182837142997,0.009900990099009901,0.8561720564218034,A19,A,confirm
240,ok,0.2371609289399502,0.7875991181722795,0.0012492464751384658,0.009900990099009901,0.176776558705017,A23,A,confirm
238,ok,1.4069827661374525,0.7363708052474603,0.00457070467891707,0.9900990099009901,1.4153165944342703,A27,A,confirm
238,ok,0.731611959855078,1.333096731512238,0.0019245622913137694,0.04950495049504951,0.718224476291996,A31,A,confirm
240,ok,1.283391836641622,2.0830844701245224,0.0024555397044191407,0.0594059405940594,1.2811936493926104,A35,A,confirm
239,ok,0.16268617543286112,0.25727045481170113,0.014188151127210613,0.22772277227722773,0.16110623783406897,A43,A,confirm
240,ok,0.05748225876651743,0.2410502571466303,0.003916235236983923,0.504950495049505,0.06256150852417576,A51,A,confirm
240,ok,0.12105187864292477,0.45438010492025493,0.05425462742420406,0.15841584158415842,0.11200656814292392,A55,A,confirm
238,ok,0.5934187673611107,0.8245725382851457,0.009125649281221726,0.0594059405940594,0.5580639184110698,B63,B,confirm
239,ok,0.6294867083061495,0.423060392908729,0.007117829451329105,0.009900990099009901,0.3706134023111904,B67,B,confirm
237,ok,0.8750386415629554,1.6468110223792116,0.003672509488374498,0.9504950495049505,0.8976185668371233,B79,B,confirm
239,ok,0.09497929684719418,0.14363817463891038,0.009450096028829957,0.7524752475247525,0.0985688239190131,C83,C,confirm
238,ok,0.49965254932257785,0.3695206903836467,0.007384751425561498,0.009900990099009901,0.3775592586397019,C87,C,confirm
239,ok,0.43582081477403756,2.138590358658033,0.0033216870956873645,0.21782178217821782,0.4297817797875898,A4,A,confirm
240,ok,0.5596142820103744,2.0274905371956438,0.002050645213351854,0.009900990099009901,0.4743002311364649,A8,A,confirm
240,ok,1.070978681620708,0.628675052456826,0.0008275645384582253,0.801980198019802,1.0942456101233717,A12,A,confirm
240,ok,0.3839502543404415,2.1790812514571374,0.0009466255246697308,0.9900990099009901,0.4127136726144584,A16,A,confirm
237,ok,0.4887035485081855,1.2888564451377509,0.005525599647799195,0.6237623762376238,0.4911329258286436,A20,A,confirm
232,ok,0.46092576959132414,1.0686026662450008,0.0034854942182004356,0.6435643564356436,0.46458440740163476,A40,A,confirm
240,ok,0.07576333089393311,0.26135359877371556,0.006816430129094608,0.7524752475247525,0.08879052293698676,A44,A,confirm
239,ok,0.21034767563727721,0.4517430332428642,0.017796241779585054,0.36633663366336633,0.19913278509509522,A48,A,confirm
237,ok,0.12519278614673993,0.19587261792250893,0.0043788745484094616,0.7821782178217822,0.1281750217329646,A52,A,confirm
240,ok,0.1492060945155654,0.48603170358080516,0.039286043054307274,0.0891089108910891,0.12170469463282796,A56,A,confirm
240,ok,0.06614997539441743,0.24585452841700506,0.006374557335548592,0.2871287128712871,0.06572035584843533,A60,A,confirm
238,ok,0.3792593311281419,0.7834046451829937,0.0037426854359249306,0.45544554455445546,0.37919569218415555,B64,B,confirm
239,ok,0.5123142671278129,1.4830189928262387,0.0027073113392956927,0.019801980198019802,0.4690272500884308,B68,B,confirm
240,ok,0.1824084066949849,0.33932394469709465,0.0020491402062767783,0.6732673267326733,0.19663887823514803,B80,B,confirm
