subject,control,repeat,low_to_high_within_auc,low_to_high_cross_auc,high_to_low_within_auc,high_to_low_cross_auc,status,cross_state_gap
A1,observed_state,0,0.7756410256410257,0.7394957983193278,0.7366946778711485,0.7708333333333334,ok,0.0010032859297565144
A1,within_run_state_permutation,0,0.8537037037037036,0.8493827160493828,0.7259259259259259,0.8407407407407408,ok,-0.055246913580247026
A1,within_run_trial_index,0,0.7075757575757575,0.9260869565217392,0.6318840579710145,0.7378787878787879,ok,-0.16225296442687753
A1,random_within_run_split,0,0.9365942028985508,0.8648989898989898,0.7424242424242424,0.7789855072463768,ok,0.017566974088713272
A1,within_run_state_permutation,1,0.6789772727272727,0.8524844720496895,0.8214285714285714,0.8409090909090908,ok,-0.0964938594014681
A1,within_run_trial_index,1,0.7075757575757575,0.9260869565217392,0.6318840579710145,0.7378787878787879,ok,-0.16225296442687753
A1,random_within_run_split,1,0.8515406162464986,0.7948717948717948,0.7451923076923077,0.7563025210084033,ok,0.02277930402930406
A1,within_run_state_permutation,2,0.7301587301587302,0.8097222222222222,0.7625,0.819047619047619,ok,-0.06805555555555554
A1,within_run_trial_index,2,0.7075757575757575,0.9260869565217392,0.6318840579710145,0.7378787878787879,ok,-0.16225296442687753
A1,random_within_run_split,2,0.6608391608391608,0.6636828644501279,0.748081841432225,0.6153846153846154,ok,0.06492676121832125
A1,within_run_state_permutation,3,0.639766081871345,0.7757575757575758,0.8929292929292929,0.8830409356725146,ok,-0.06305156831472625
A1,within_run_trial_index,3,0.7075757575757575,0.9260869565217392,0.6318840579710145,0.7378787878787879,ok,-0.16225296442687753
A1,random_within_run_split,3,0.7487179487179487,0.6901960784313724,0.7947712418300654,0.72991452991453,ok,0.061689291101055865
A1,within_run_state_permutation,4,0.8365384615384616,0.6246498599439776,0.834733893557423,0.8333333333333333,ok,0.10664458090928686
A1,within_run_trial_index,4,0.7075757575757575,0.9260869565217392,0.6318840579710145,0.7378787878787879,ok,-0.16225296442687753
A1,random_within_run_split,4,0.7307221542227662,0.5899419729206963,0.758220502901354,0.8017135862913096,ok,0.04864354895605716
A5,observed_state,0,0.4704968944099379,0.6309523809523809,0.5727513227513228,0.5807453416149068,ok,-0.0842247527030135
A5,within_run_state_permutation,0,0.5681818181818181,0.4636363636363636,0.5545454545454546,0.6577540106951871,ok,0.0006684491978609652
A5,within_run_trial_index,0,0.5042016806722689,0.5608695652173913,0.763768115942029,0.7044817927170868,ok,0.0013092193399099061
A5,random_within_run_split,0,0.6051103368176539,0.44680851063829785,0.7659574468085106,0.6399535423925667,ok,0.14215286529764998
