low_to_high_within_auc,low_to_high_cross_auc,high_to_low_within_auc,high_to_low_cross_auc,status,cross_state_gap,subject,dataset,split
0.6720867208672087,0.7512820512820513,0.7730769230769231,0.8523035230352304,ok,-0.07921096518657494,A9,A,explore
0.6643990929705215,0.5085470085470085,0.7037037037037037,0.528344671201814,ok,0.1656055584627013,A13,A,explore
0.6894308943089431,0.6304909560723514,0.49612403100775193,0.4308943089430894,ok,0.06208483015062713,A17,A,explore
0.5957671957671957,0.573051948051948,0.5535714285714286,0.7259259259259259,ok,-0.07481962481962479,A21,A,explore
0.9138321995464853,0.853125,0.9640625,0.9557823129251701,ok,0.0344936933106576,A25,A,explore
0.5609756097560976,0.5311355311355311,0.4700854700854701,0.5109114249037228,ok,-0.005492938098843103,A49,A,explore
0.5384615384615385,0.5334448160535117,0.42028985507246375,0.5877192982456141,ok,-0.08120636038256174,A53,A,explore
0.4458333333333333,0.4444444444444444,0.5397727272727273,0.6513888888888889,ok,-0.055113636363636365,A57,A,explore
0.783068783068783,0.7764550264550264,0.9074074074074074,0.9312169312169313,ok,-0.008597883597883604,B61,B,explore
0.7597883597883598,0.8093023255813954,0.765891472868217,0.7111111111111111,ok,0.0026331979820351514,B65,B,explore
0.7631578947368421,0.7117794486215538,0.8496240601503758,0.8546365914786969,ok,0.02318295739348364,A10,A,explore
0.46486486486486484,0.6302631578947369,0.5697368421052632,0.5902702702702703,ok,-0.09296586059743958,A30,A,explore
0.5276442307692308,0.49642857142857133,0.5916666666666668,0.5925480769230769,ok,0.01516712454212471,A46,A,explore
0.4205405405405405,0.37797619047619047,0.5186011904761905,0.4670270270270271,ok,0.04706925675675672,A58,A,explore
0.5288220551378446,0.5041128084606346,0.5170387779083431,0.45864661654135336,ok,0.0415507040220999,B70,B,explore
0.6282894736842105,0.6852713178294574,0.7271317829457364,0.6381578947368421,ok,0.01599602203182371,C86,C,explore
0.46693657219973006,0.4522875816993464,0.6418300653594772,0.8529014844804318,ok,-0.09821121431028548,A7,A,explore
0.5975609756097561,0.582766439909297,0.4183673469387755,0.46189024390243905,ok,-0.014364180631602247,A11,A,explore
0.8393939393939394,0.8696741854636592,0.7418546365914787,0.7333333333333334,ok,-0.010879471405787267,A39,A,explore
0.5354449472096531,0.4666666666666666,0.5511904761904761,0.5889894419306184,ok,0.01548965740142208,A47,A,explore
0.47811447811447805,0.5454545454545454,0.7154882154882154,0.4107744107744108,ok,0.11868686868686862,A59,A,explore
0.4576719576719577,0.43971631205673756,0.5045592705167173,0.30687830687830686,ok,0.1078183046268153,B71,B,explore
0.5277777777777778,0.5888888888888889,0.6819444444444444,0.5791666666666666,ok,0.020833333333333315,B75,B,explore
0.8960863697705803,0.8107142857142857,0.805952380952381,0.8205128205128206,ok,0.03540582224792749,A24,A,explore
0.40650406504065034,0.38501291989664077,0.5878552971576227,0.5420054200542006,ok,0.03367051112371586,A28,A,explore
0.7702020202020202,0.6585365853658537,0.7202295552367288,0.667929292929293,ok,0.08198284857180116,A32,A,explore
0.6638655462184875,0.6071428571428572,0.7619047619047619,0.6428571428571428,ok,0.08788515406162467,A36,A,explore
0.6,0.44457142857142856,0.49142857142857144,0.594871794871795,ok,0.025992673992673937,B72,B,explore
0.9416149068322981,0.9456521739130435,0.9429347826086957,0.8596273291925466,ok,0.03963509316770186,B76,B,explore
0.8241279069767443,0.7402439024390244,0.7182926829268292,0.7151162790697674,ok,0.0435302041973909,C84,C,explore
