architecture,fold,epoch,train_loss,validation_loss,validation_balanced_accuracy
EEGNet,5,8,0.6843499135463795,0.6938542127609253,0.5029761904761905
EEGNet,5,9,0.6843865944984111,0.6907845139503479,0.5071428571428571
EEGNet,5,10,0.681858604765953,0.6898276209831238,0.5071428571428571
EEGNet,5,11,0.6846067002479066,0.688226044178009,0.5083333333333333
EEGNet,5,12,0.6823474655760096,0.6952271461486816,0.5029761904761905
ShallowConvNet,1,1,1.5508196112410775,0.9134511351585388,0.5053571428571428
ShallowConvNet,1,2,0.7823423599374706,0.693419337272644,0.5113095238095238
ShallowConvNet,1,3,0.7666944797182905,0.7186596393585205,0.5059523809523809
ShallowConvNet,1,4,0.779489104603899,0.7312044501304626,0.5023809523809524
ShallowConvNet,1,5,0.7506747487290152,0.7243291139602661,0.5113095238095238
ShallowConvNet,2,1,1.5702317630784195,0.7443193197250366,0.5047619047619047
ShallowConvNet,2,2,0.7953273221658534,0.9671663045883179,0.5
ShallowConvNet,2,3,0.7621321900719736,0.8074570894241333,0.5
ShallowConvNet,2,4,0.7681870887719511,0.7310330867767334,0.5047619047619047
ShallowConvNet,2,5,0.7523475910972628,0.7823485136032104,0.5005952380952381
ShallowConvNet,2,6,0.7526555399014715,0.7070581316947937,0.5136904761904763
ShallowConvNet,2,7,0.7539383705081858,0.8522893190383911,0.5005952380952381
ShallowConvNet,2,8,0.7543455748598975,0.7151347398757935,0.5226190476190476
ShallowConvNet,2,9,0.7665237774153124,0.7100384831428528,0.5172619047619047
ShallowConvNet,3,1,1.5981609098454739,0.7926669120788574,0.5
ShallowConvNet,3,2,0.8098720251245701,0.9571629166603088,0.5
ShallowConvNet,3,3,0.7669367531512646,0.9990861415863037,0.5
ShallowConvNet,3,4,0.7631102442741394,0.7551543712615967,0.5
ShallowConvNet,3,5,0.7736508103127175,0.7565338611602783,0.5
ShallowConvNet,3,6,0.7427759343005241,0.6934748291969299,0.5113095238095238
ShallowConvNet,3,7,0.7469978253892128,0.6972377300262451,0.5172619047619048
ShallowConvNet,3,8,0.7426509753186652,0.7159192562103271,0.5160714285714286
ShallowConvNet,3,9,0.7602048914483253,0.720940887928009,0.5125
ShallowConvNet,4,1,1.6823122448109566,0.7078279852867126,0.5083333333333333
ShallowConvNet,4,2,0.7802357120716825,0.8460275530815125,0.5
ShallowConvNet,4,3,0.7773176099391694,0.693859875202179,0.5101190476190476
ShallowConvNet,4,4,0.7702122191165356,0.6953964829444885,0.5136904761904761
ShallowConvNet,4,5,0.7632238481907134,0.6937614679336548,0.5041666666666667
ShallowConvNet,4,6,0.7636609967718733,1.0445983409881592,0.5
ShallowConvNet,4,7,0.7718649790642109,0.7731838226318359,0.5011904761904762
ShallowConvNet,4,8,0.7699761398295139,0.7716231346130371,0.5047619047619047
ShallowConvNet,5,1,1.710221726082741,0.7237172722816467,0.5053571428571428
ShallowConvNet,5,2,0.7963383240902677,0.7044830322265625,0.5029761904761905
ShallowConvNet,5,3,0.7715917736925977,0.7302552461624146,0.5059523809523809
ShallowConvNet,5,4,0.766903317989187,0.7209643125534058,0.5011904761904762
ShallowConvNet,5,5,0.7555510794862788,0.8861668109893799,0.5005952380952381
