status,n_trials,rss_fixed_template_only,rss_template_plus_time_trend,rss_template_plus_time_and_nuisance,rss_remove_state,rss_remove_differential_term,rss_remove_nuisance_covariates,rss_state_on_template_time_nuisance,rss_h1_differential_full,rss_h1b_common_state_only,partial_r2_time_over_template,partial_r2_nuisance_over_time,partial_r2_common_state_over_controls,partial_r2_differential_over_common,partial_r2_state_terms_over_no_state,partial_r2_nuisance_contribution,subject,dataset,validity_label,seed
ok,238,3234.5156672449134,2326.07815474414,2273.4189052593824,2273.4189052593824,2265.700454135212,2292.1437885420855,2265.700454135212,2249.9250094833105,2265.700454135212,0.28085735422470826,0.022638641516561586,0.003395085307997703,0.0069627229950496305,0.010334169264503146,0.018418905161978638,A1,A,fixed_ablation_grid_sensitivity,3645315383
ok,238,7362.385300675322,5434.534599834849,4511.102665543669,4511.102665543669,4479.061849879562,4592.4669563940915,4479.061849879562,4471.305365050448,4479.061849879562,0.2618513731770651,0.16991922994091213,0.0071026571638102,0.0017317208578673249,0.008822078202120553,0.026382681137193664,A5,A,fixed_ablation_grid_sensitivity,2068538117
ok,238,5952.233621728863,4533.928400348386,3725.115126017804,3725.115126017804,3689.468235735044,3745.1102018809843,3689.468235735044,3682.7874897885713,3689.468235735044,0.23828117502023072,0.17839127637490548,0.00956933922223957,0.0018107612044914179,0.011362772638514818,0.016641088975462237,A29,A,fixed_ablation_grid_sensitivity,2532295769
ok,240,2752.993348735492,2014.7506718482095,1743.3174831528854,1743.3174831528854,1731.514546455683,1744.78006913537,1731.514546455683,1726.7854298649636,1731.514546455683,0.26815999291330395,0.1347229672078123,0.006770388532934324,0.002731202345599537,0.00948309957749216,0.010313414044971103,A33,A,fixed_ablation_grid_sensitivity,39671958
ok,239,2849.025557487479,2116.183270483693,1594.2650845988753,1594.2650845988753,1548.118142347882,1819.1382647879802,1548.118142347882,1545.2484673724111,1548.118142347882,0.2572255924759309,0.24663184572171937,0.028945589222763468,0.0018536537341514725,0.03074558785736503,0.15056018704960328,A37,A,fixed_ablation_grid_sensitivity,2407716403
ok,236,12311.840015214355,7796.339226221056,7394.938181912867,7394.938181912867,7041.652093814237,7635.433810003813,7041.652093814237,7020.104086987934,7041.652093814237,0.3667608402491641,0.051485836193245205,0.047774042109334336,0.003060078308218528,0.050687928107598146,0.08058870502022875,A41,A,fixed_ablation_grid_sensitivity,1099553953
ok,240,21181.413033788223,8632.631587316126,2255.8258691364385,2255.8258691364385,2182.4628789099093,2343.271717977905,2182.4628789099093,2180.1342217177857,2182.4628789099093,0.5924430738617155,0.7386861878304978,0.03252156615023383,0.0010669859334728748,0.03355385203008976,0.0696195387878008,A45,A,fixed_ablation_grid_sensitivity,2853786294
ok,240,3607.8410352505616,2717.4273772226074,2683.172279181541,2683.172279181541,2676.7593070889216,2681.7212174340025,2676.7593070889216,2661.7027885397893,2676.7593070889216,0.24679958161352744,0.012605708740624166,0.0023900709404226506,0.005624905649625589,0.008001532666512379,0.007464768807463051,B69,B,fixed_ablation_grid_sensitivity,286978586
ok,238,6954.285995311599,4738.866315707846,4392.511134932878,4392.511134932878,4280.15874123782,4589.055461480835,4280.15874123782,4274.805440081336,4280.15874123782,0.31856896324041495,0.0730881940321697,0.025578169353183577,0.0012507249100148776,0.026796903009635886,0.06847814850729528,B73,B,fixed_ablation_grid_sensitivity,2312406473
ok,239,5240.083834030942,4191.858919481847,3746.280937372627,3746.280937372627,3677.8328226245317,4147.455667681395,3677.8328226245317,3651.453985432816,3677.8328226245317,0.2000397222161895,0.10629603492578843,0.018270950815583942,0.007172386148017407,0.025312290649060487,0.11959179844009415,B77,B,fixed_ablation_grid_sensitivity,2855606156
ok,240,8045.835062810711,5414.389914951195,4803.079165093508,4803.079165093508,4752.650727016856,5345.1813108179895,4752.650727016856,4712.4858194372955,4752.650727016856,0.32705680980492946,0.11290482574400951,0.010499189445625223,0.00845105392475809,0.01886151415421211,0.11836745183932229,B81,B,fixed_ablation_grid_sensitivity,3956372772
ok,240,11941.447565023234,4254.15469374757,813.5365941713244,813.5365941713244,760.4283844785953,827.7882345037787,760.4283844785953,750.9220887808725,760.4283844785953,0.643748827721014,0.8087665699211648,0.06528066478291072,0.012501237318016445,0.07696581301819816,0.09285725807516931,C85,C,fixed_ablation_grid_sensitivity,3203814161
ok,238,6165.967369247604,3912.8278265485465,2887.017550495319,2887.017550495319,2724.766309189993,2872.0737946766585,2724.766309189993,2721.69359662663,2724.766309189993,0.3654154178525916,0.26216596321798324,0.05620029614211697,0.0011276976498862945,0.05726461685012085,0.05235944784174962,A2,A,fixed_ablation_grid_sensitivity,874789805
ok,238,4519.620875243796,3351.7853494107385,2846.0983924479838,2846.0983924479838,2828.513902162516,2857.265611486544,2828.513902162516,2823.9741245228633,2828.513902162516,0.25839236477330907,0.15087092526723322,0.0061784548039968135,0.001605004534777743,0.007773542890796126,0.011651519841153313,A6,A,fixed_ablation_grid_sensitivity,1489364615
ok,236,5363.072394862731,3858.9850711548497,2869.123123439431,2869.123123439431,2838.4832234681317,3021.0333691297546,2838.4832234681317,2835.928673483894,2838.4832234681317,0.2804525490181041,0.2565083641070397,0.010679186167015686,0.0008999700837113433,0.011569545302658302,0.06127197982562582,A14,A,fixed_ablation_grid_sensitivity,106024358
ok,240,5521.773474011145,3692.0860788498544,2936.391215153486,2936.391215153486,2632.6893084078065,2718.029080373284,2632.6893084078065,2629.3344631551577,2632.6893084078065,0.33135864840760354,0.20467964385374782,0.10342692253620744,0.0012743035199538344,0.10456942876471531,0.03263196036370053,A18,A,fixed_ablation_grid_sensitivity,2141091154
ok,239,2438.3012987128022,1805.038701489896,1132.5578982291997,1132.5578982291997,1117.373063393402,1143.1916008052324,1117.373063393402,1113.370258355834,1117.373063393402,0.2597146618251035,0.37255755386608846,0.013407557229118128,0.003582335362024569,0.01694186222476246,0.02608604054507835,A22,A,fixed_ablation_grid_sensitivity,3874593655
ok,237,2972.571622693019,2019.6992232609891,1606.6570909353418,1606.6570909353418,1600.346413307063,1620.19350109554,1600.346413307063,1596.7143720240279,1600.346413307063,0.3205549000594877,0.20450675405952434,0.003927831062323972,0.002269534428817499,0.00618845114331501,0.014491558604349364,A26,A,fixed_ablation_grid_sensitivity,424421963
ok,240,2022.8818212391702,1569.0955649817754,1316.6289379909845,1316.6289379909845,1308.891977327516,1333.0806654372072,1308.891977327516,1303.1019606720051,1308.891977327516,0.22432662723688723,0.16089945865962807,0.005876341040531918,0.004423601607928651,0.010273948056784943,0.022488290125616706,A34,A,fixed_ablation_grid_sensitivity,2351257472
ok,240,9550.923791924792,6691.067083498842,5064.165145830597,5064.165145830597,5036.76943592554,5089.787559763656,5036.76943592554,5030.576464499185,5036.76943592554,0.29943247069397927,0.24314536341750714,0.00540971890057973,0.0012295522963950978,0.0066326196646777635,0.011633313683375057,A38,A,fixed_ablation_grid_sensitivity,3334852185
ok,240,12028.708771145313,4456.385848567946,1011.156878056867,1011.156878056867,960.0484071034967,1122.5055555511115,960.0484071034967,955.3368452489436,960.0484071034967,0.6295208460563941,0.7730993427371642,0.05054455155522952,0.004907629469193209,0.05520412709370315,0.14892461732191054,A42,A,fixed_ablation_grid_sensitivity,1724369072
ok,240,10451.827434081191,3515.374439790432,554.3279694644496,554.3279694644496,517.0579961376659,580.0840374852278,517.0579961376659,514.7043291558343,517.0579961376659,0.6636593493375578,0.8423132502785405,0.06723451707261163,0.004552036714281726,0.07148049979671178,0.11270730463955991,A50,A,fixed_ablation_grid_sensitivity,2737443699
ok,240,15400.24902635266,5406.734909074959,986.1645993126525,986.1645993126525,911.4631831946414,1028.4893368808075,911.4631831946414,906.6982917237556,911.4631831946414,0.6489189947628093,0.817604410814109,0.07574943997186401,0.005227738825593686,0.08058118050909979,0.11841741162472197,A54,A,fixed_ablation_grid_sensitivity,946726682
ok,239,4392.650548064201,3302.698868309346,3103.3656912345614,3103.3656912345614,3080.3714417422393,3256.5132300147634,3080.3714417422393,3062.711756154071,3080.3714417422393,0.24813075108721916,0.060354632687667165,0.0074094553398167395,0.005732972767134914,0.013099949901269281,0.05951195655354791,B62,B,fixed_ablation_grid_sensitivity,85510238
ok,239,4024.244090093121,3040.896549299379,2986.7315383391897,2986.7315383391897,2974.329449646656,3009.5462624899524,2974.329449646656,2960.183687387357,2974.329449646656,0.24435583895483526,0.017812184690291,0.004152394861518083,0.004755950038076384,0.008888596317094821,0.016401999104594278,B66,B,fixed_ablation_grid_sensitivity,1469430506
ok,240,3698.2819207827656,2747.5738462227687,2636.1547546082056,2636.1547546082056,2572.543304027453,2669.4016560380974,2572.543304027453,2559.340507664885,2572.543304027453,0.25706749645488713,0.040551809651171555,0.024130393130204153,0.0051321959641643655,0.02913874718813192,0.04123064362541984,B74,B,fixed_ablation_grid_sensitivity,1965661872
ok,239,12888.314101816199,10926.274249422579,10182.63973358933,10182.63973358933,10026.635449665246,10764.167183268613,10026.635449665246,10010.87519060688,10026.635449665246,0.15223401888670085,0.06805929439969405,0.015320613122496662,0.0015718392413371918,0.01686837082292658,0.06998144676093665,B78,B,fixed_ablation_grid_sensitivity,1376760847
ok,240,6120.841197407883,4637.338410681796,4521.821216375132,4521.821216375132,4358.8626581562685,4457.228052086163,4358.8626581562685,4348.839192377855,4358.8626581562685,0.24236910236363196,0.024910236018268028,0.036038257688900344,0.002299559900025172,0.03825494545667729,0.02431754858438917,C82,C,fixed_ablation_grid_sensitivity,2772190272
ok,240,10327.5228141467,4975.224998217871,2330.186264045128,2330.186264045128,2274.5814485267347,2343.5420972005886,2274.5814485267347,2267.0125375449243,2274.5814485267347,0.5182557242669288,0.5316420332990363,0.02386282005708218,0.003327606046691689,0.027111020039460865,0.03265550883300994,A3,A,fixed_ablation_grid_sensitivity,415239340
