baseline,count,mean,std
CSP_LDA,86,0.6049418604651162,0.13096473298529535
FBCSP_proxy_logreg,86,0.5739825581395348,0.09475617154119112
Riemannian_MDM,66,0.5645833333333333,0.12142153475625357
Tangent_logreg,66,0.6520833333333333,0.15981635093331667
engineered_sensorimotor_logreg,86,0.5729651162790698,0.09532954577790463
