low_to_high_within_auc,low_to_high_cross_auc,high_to_low_within_auc,high_to_low_cross_auc,status,cross_state_gap,subject,dataset,split
0.7756410256410257,0.7394957983193278,0.7366946778711485,0.7708333333333334,ok,0.0010032859297565144,A1,A,confirm
0.4704968944099379,0.6309523809523809,0.5727513227513228,0.5807453416149068,ok,-0.0842247527030135,A5,A,confirm
0.5071428571428571,0.38593974175035867,0.5896700143472023,0.7107142857142857,ok,7.942201270752514e-05,A29,A,confirm
0.8947368421052632,0.8218623481781376,0.8259109311740891,0.9057527539779682,ok,-0.0034836644383767768,A33,A,confirm
0.6453488372093024,0.6545240893066979,0.7285546415981199,0.5930232558139534,ok,0.06317806684338545,A37,A,confirm
0.6531713900134952,0.5910931174089069,0.708502024291498,0.6099865047233468,ok,0.08029689608636975,A41,A,confirm
0.4714445688689809,0.5606837606837607,0.5555555555555556,0.48488241881298993,ok,-0.009283027536107075,A45,A,confirm
0.9521367521367521,0.9037037037037037,0.7814814814814814,0.8,ok,0.014957264957264904,B69,B,confirm
0.9508448540706606,0.9500000000000001,0.9576923076923076,0.8417818740399385,ok,0.05837764386151478,B73,B,confirm
0.6153846153846154,0.7032967032967034,0.5510204081632654,0.5087719298245614,ok,-0.022831804786692,B77,B,confirm
0.4585365853658537,0.5181818181818182,0.6625,0.2634146341463415,ok,0.169720066518847,B81,B,confirm
0.6685606060606061,0.5482625482625483,0.5135135135135134,0.6357323232323232,ok,-0.0009603759603760142,C85,C,confirm
0.5811965811965812,0.6245847176079734,0.5431893687707641,0.5405982905982906,ok,-0.02039852911945933,A2,A,confirm
0.7124518613607189,0.6879432624113476,0.7570921985815603,0.6559691912708601,ok,0.06281580313003576,A6,A,confirm
0.5460704607046071,0.49210526315789477,0.5657894736842106,0.4607046070460705,ok,0.0795250320924262,A14,A,confirm
0.6203007518796992,0.882063882063882,0.8710073710073709,0.738095238095238,ok,-0.06442549863602492,A18,A,confirm
0.5892857142857143,0.8631578947368421,0.8236842105263158,0.7904761904761904,ok,-0.12033208020050123,A22,A,confirm
0.55,0.6956521739130435,0.7109283196239717,0.7357142857142858,ok,-0.08521907000167872,A26,A,confirm
0.5372023809523809,0.782608695652174,0.45819397993311034,0.5208333333333334,ok,-0.15402283405000802,A34,A,confirm
0.592436974789916,0.625,0.7208333333333333,0.6176470588235294,ok,0.03531162464985993,A38,A,confirm
0.6000000000000001,0.3850340136054422,0.6993197278911565,0.5046153846153847,ok,0.20483516483516484,A42,A,confirm
0.5426356589147288,0.4880952380952381,0.6106442577030812,0.6098191214470283,ok,0.027682778537771763,A50,A,confirm
0.4855769230769231,0.5283333333333332,0.5700000000000001,0.4555288461538462,ok,0.03585737179487186,A54,A,confirm
0.8833333333333333,0.7303523035230352,0.8672086720867209,0.9011904761904762,ok,0.05949961285327143,B62,B,confirm
0.5901162790697675,0.46894409937888204,0.5481366459627329,0.7194767441860466,ok,-0.025083959266214095,B66,B,confirm
0.6936090225563909,0.7481684981684982,0.6877289377289377,0.38721804511278196,ok,0.12297570850202424,B74,B,confirm
0.7886178861788619,0.8076923076923077,0.686070686070686,0.669918699186992,ok,-0.0014612173148759178,B78,B,confirm
0.53125,0.5792592592592593,0.42666666666666664,0.61125,ok,-0.11629629629629629,C82,C,confirm
0.9291819291819291,0.8426812585499316,0.8426812585499316,0.945054945054945,ok,-0.007936507936507964,A3,A,confirm
0.6974025974025975,0.7057416267942584,0.6973684210526316,0.6142857142857143,ok,0.03737183868762817,A15,A,confirm
0.8753387533875339,0.9451871657754011,0.9799465240641712,0.9742547425474255,ok,-0.03207831543556078,A19,A,confirm
0.7173913043478262,0.8260869565217391,0.7141304347826086,0.6841432225063938,ok,-0.03935421994884908,A23,A,confirm
0.4545454545454545,0.5941176470588235,0.4152941176470588,0.3890374331550802,ok,-0.05665775401069523,A27,A,confirm
0.5432372505543237,0.6367346938775511,0.5469387755102041,0.5532150776053215,ok,-0.049886872709172414,A31,A,confirm
0.92125,0.8738425925925927,0.8645833333333333,0.82,ok,0.045995370370370325,A35,A,confirm
0.5253077975376197,0.6833333333333332,0.6243589743589744,0.5061559507523941,ok,-0.01991125609456662,A43,A,confirm
0.5434210526315789,0.5588235294117647,0.5013368983957218,0.5381578947368422,ok,-0.026111736560653076,A51,A,confirm
0.6848072562358276,0.5779411764705882,0.6352941176470588,0.6598639455782314,ok,0.04114812591703343,A55,A,confirm
0.3904761904761904,0.6130820399113083,0.44235033259423506,0.5873015873015873,ok,-0.18377855207123506,B63,B,confirm
0.6426767676767677,0.6236111111111111,0.6763888888888889,0.5555555555555556,ok,0.06994949494949498,B67,B,confirm
