branch,validity_label,subject,dataset,rejection_rate,sctm_n_trials,sctm_status,sctm_differential_norm,sctm_common_state_norm,sctm_differential_partial_r2,sctm_permutation_p,sctm_null_differential_norm_mean,cross_low_to_high_within_auc,cross_low_to_high_cross_auc,cross_high_to_low_within_auc,cross_high_to_low_cross_auc,cross_status,cross_cross_state_gap,permutations,seed
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A1,A,0.008333333333333333,238,ok,0.3045361515339534,0.41245790610747424,0.0023880378000102898,0.27091633466135456,0.3015460611622306,0.7076923076923076,0.6866666666666666,0.7733333333333334,0.7743589743589744,ok,0.010000000000000009,250,1709258864
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A2,A,0.016666666666666666,236,ok,0.4681809152678101,1.768198500266746,0.0013471951984608266,0.5816733067729084,0.4742701238946004,0.5954088952654232,0.6483516483516484,0.4297924297924297,0.6384505021520803,ok,-0.1308004127229379,250,1099789847
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A3,A,0.0,240,ok,0.43752546812346643,1.382567844884249,0.003504745948993415,0.01195219123505976,0.41327069613274725,0.8292682926829269,0.8269454123112658,0.8304297328687573,0.7202295552367287,ok,0.056261529001844834,250,4207634932
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A4,A,0.029166666666666667,233,ok,0.9106588329759175,1.3404555954447495,0.0023747478833888724,0.00398406374501992,0.8259622562530344,0.5714285714285714,0.5441860465116279,0.4992248062015504,0.5364145658263305,ok,-0.004973617353918325,250,2498503146
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A5,A,0.004166666666666667,239,ok,1.2486971518312182,2.0719714095588446,0.0017190314406566598,0.00796812749003984,1.2401848024965314,0.5181159420289855,0.7345238095238096,0.7476190476190476,0.7355072463768116,ok,-0.10214803312629406,250,3634085536
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A6,A,0.016666666666666666,236,ok,2.0119647977144233,0.827640580198846,0.00188511508439837,0.00796812749003984,1.993318642870008,0.8418367346938775,0.6979405034324941,0.591533180778032,0.729591836734694,ok,0.0029187876523606993,250,2314057813
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A8,A,0.004166666666666667,239,ok,0.5469063375386497,2.0235090873715142,0.002198184252189317,0.027888446215139442,0.5133973094177748,0.5777777777777778,0.6326781326781327,0.7506142506142506,0.7625000000000001,ok,-0.03339305214305216,250,97976273
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A12,A,0.0,240,ok,0.8474081145404654,0.8502657925282341,0.0007730697494127137,0.05976095617529881,0.829678465489036,0.6100478468899521,0.5611888111888113,0.5437062937062936,0.5239234449760766,ok,0.03432094221567894,250,1218460272
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A14,A,0.008333333333333333,238,ok,1.3629496224439415,1.3684207423036316,0.0007985819108373704,1.0,1.5045333395520706,0.5119617224880383,0.640218878248974,0.73187414500684,0.5645933014354068,ok,0.019511843905248738,250,1858842769
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A15,A,0.0,240,ok,1.2298034146187797,0.6347792728736652,0.003864683399687152,1.0,1.2691720336297052,0.7821428571428571,0.7232947232947233,0.6653796653796653,0.5702380952380952,ok,0.07699485199485195,250,2665560199
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A16,A,0.0,240,ok,0.17390207572396668,2.172402142114328,0.0009305821191123442,0.099601593625498,0.1703132085711744,0.46341463414634143,0.49999999999999994,0.5619047619047619,0.5408895265423243,ok,-0.0077850652456104286,250,3031273659
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A18,A,0.0,240,ok,0.314006168042025,2.2446158704120642,0.0016916451390524,1.0,0.3385764889297802,0.7157894736842105,0.8286713286713288,0.8787878787878788,0.8184210526315789,ok,-0.02625751441540919,250,3237524927
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A19,A,0.0,240,ok,0.8748647343942378,1.7992011861221515,0.0036356149624647838,0.5378486055776892,0.8751025629336234,0.6693181818181817,0.8632478632478633,0.9435897435897436,0.9227272727272727,ok,-0.08653360528360537,250,1424729052
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A20,A,0.0125,237,ok,0.6633943159644442,1.257408504259944,0.006119481724005782,0.01195219123505976,0.601352336280389,0.8404255319148937,0.8862179487179487,0.8461538461538461,0.6928191489361702,ok,0.05377114020731044,250,865243459
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A22,A,0.0,240,ok,0.43427949348495726,0.217952664904941,0.0037510708576741214,0.08764940239043825,0.3865351140045641,0.6358974358974359,0.8036585365853658,0.7426829268292683,0.867948717948718,ok,-0.1465134459036898,250,2793287811
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A23,A,0.008333333333333333,238,ok,0.20922130750067616,0.8948033267554931,0.0010786500859539805,0.9402390438247012,0.2295616491822793,0.8136200716845877,0.763157894736842,0.7669172932330827,0.5949820788530467,ok,0.11119869566389085,250,2919500952
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A26,A,0.0125,237,ok,0.9622687602552389,0.6630033142328232,0.0024418900687652734,1.0,0.9905188378852963,0.7214452214452214,0.8888888888888888,0.5775335775335775,0.5268065268065268,ok,-0.05835830835830841,250,963971926
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A27,A,0.0,240,ok,1.4463498698193937,0.8829459497386161,0.004665216469090683,0.9960159362549801,1.4553689781346042,0.5492424242424243,0.579656862745098,0.5196078431372549,0.3863636363636364,ok,0.05141488413547243,250,2038587039
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A29,A,0.004166666666666667,239,ok,1.3661703206800564,2.3637456396631893,0.002636206953687603,0.649402390438247,1.3678475257572655,0.7488095238095238,0.6269727403156384,0.6370157819225251,0.6214285714285714,ok,0.0687119969939195,250,2011262318
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A31,A,0.0,240,ok,0.7626409875931378,1.304270998031797,0.001798516930464289,0.00398406374501992,0.7409153557195786,0.3994708994708995,0.5361990950226244,0.7997737556561085,0.6190476190476191,ok,0.02199897052838226,250,420893906
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A33,A,0.0,240,ok,1.4137068904062182,0.8589034437220012,0.0025553569530040177,0.00796812749003984,1.4106382569022975,0.8347953216374269,0.8306818181818182,0.5590909090909091,0.7953216374269005,ok,-0.11605861244019139,250,1748020907
mi_window_circularity,circularity_ablation_not_valid_for_primary_inference,A34,A,0.0,240,ok,0.7311275913819092,0.8570130116890963,0.005664899712755966,1.0,0.7511217122940893,0.5284900284900285,0.8106575963718821,0.41950113378684806,0.5626780626780626,ok,-0.2126722483865341,250,1492241460
