branch,validity_label,subject,dataset,rejection_rate,sctm_n_trials,sctm_status,sctm_differential_norm,sctm_common_state_norm,sctm_differential_partial_r2,sctm_permutation_p,sctm_null_differential_norm_mean,cross_low_to_high_within_auc,cross_low_to_high_cross_auc,cross_high_to_low_within_auc,cross_high_to_low_cross_auc,cross_status,cross_cross_state_gap,permutations,seed
no_eog_regression,preprocessing_sensitivity_ablation,A1,A,0.008333333333333333,238,ok,0.22584666955325935,0.2826456972017558,0.007086076384408391,0.32669322709163345,0.22532014469977327,0.8044871794871795,0.8207282913165266,0.7100840336134454,0.7291666666666667,ok,-0.0176618724412842,250,1283533479
no_eog_regression,preprocessing_sensitivity_ablation,A2,A,0.008333333333333333,238,ok,0.334122954342652,0.4597513076492144,0.0014664199387645072,1.0,0.34167841649877423,0.4692982456140351,0.5780730897009967,0.7192691029900332,0.6129385964912281,ok,-0.0012221687940782155,250,1926860610
no_eog_regression,preprocessing_sensitivity_ablation,A3,A,0.0,240,ok,0.6529403811078397,1.0237416472622247,0.0074297769357097865,0.00796812749003984,0.6450949518999116,0.8608058608058606,0.6744186046511628,0.8454172366621067,0.8901098901098902,ok,0.07084730135345718,250,551683328
no_eog_regression,preprocessing_sensitivity_ablation,A4,A,0.004166666666666667,239,ok,0.23049308693066953,0.1355361910658576,0.0022583547610813826,0.01593625498007968,0.2222555593240354,0.4970588235294118,0.6482269503546099,0.5929078014184397,0.5941176470588235,ok,-0.07618898623279097,250,1711246478
no_eog_regression,preprocessing_sensitivity_ablation,A5,A,0.008333333333333333,238,ok,0.20238112397100433,0.6472696858839997,0.005115371700230353,0.23107569721115537,0.1914662998100639,0.7608695652173912,0.5806878306878307,0.6230158730158729,0.4503105590062112,ok,0.17644352426961113,250,2481550223
no_eog_regression,preprocessing_sensitivity_ablation,A6,A,0.008333333333333333,238,ok,0.9543856017737442,1.4250019130441585,0.0020443113245015576,0.29880478087649404,0.9483852884997971,0.7252888318356868,0.7854609929078015,0.8297872340425532,0.7355584082156611,ok,0.01702833237738871,250,766180137
no_eog_regression,preprocessing_sensitivity_ablation,A8,A,0.0,240,ok,0.24466523158725784,0.26186632912820124,0.003491622352533197,0.30278884462151395,0.24462455106796485,0.7305061559507524,0.5567765567765568,0.540903540903541,0.6005471956224351,ok,0.05704297222765076,250,4139715953
no_eog_regression,preprocessing_sensitivity_ablation,A12,A,0.0,240,ok,0.28526521849936715,0.9269442816976147,0.0016322953805950613,0.02390438247011952,0.26180785846765875,0.6680272108843537,0.7345399698340875,0.4932126696832579,0.5646258503401361,ok,-0.06896296980330605,250,3542346211
no_eog_regression,preprocessing_sensitivity_ablation,A14,A,0.004166666666666667,239,ok,0.14396111414183294,0.16518976025518156,0.0029268061271193746,0.07569721115537849,0.13258787897421623,0.593915343915344,0.606516290726817,0.6115288220551378,0.6812169312169313,ok,-0.04114452798663326,250,1931821404
no_eog_regression,preprocessing_sensitivity_ablation,A15,A,0.004166666666666667,239,ok,0.24959929665003852,0.22829331183969495,0.010016648170692699,0.9083665338645418,0.25670331539704005,0.78475935828877,0.8803827751196173,0.7308612440191387,0.676470588235294,ok,-0.020616380523501343,250,1609820638
